iter	Passed	Remaining
405	7972	11664
406	7990	11641
407	8014	11628
408	8033	11607
409	8049	11583
410	8069	11564
411	8088	11543
412	8107	11523
413	8128	11505
414	8149	11487
415	8172	11473
416	8201	11466
417	8234	11465
418	8265	11461
419	8287	11444
420	8308	11426
421	8327	11406
422	8349	11388
423	8374	11377
424	8395	11358
425	8422	11348
426	8439	11324
427	8462	11309
428	8483	11292
429	8500	11268
430	8518	11246
431	8537	11224
432	8558	11207
433	8578	11187
434	8601	11171
435	8623	11154
436	8642	11134
437	8659	11110
438	8682	11094
439	8704	11077
440	8727	11062
441	8751	11048
442	8772	11029
443	8790	11008
444	8814	10993
445	8833	10972
446	8849	10948
447	8865	10924
448	8883	10901
449	8900	10878
450	8916	10854
451	8934	10831
452	8960	10819
453	8985	10805
454	9009	10792
455	9041	10785
456	9121	10837
457	9232	10925
458	9265	10920
459	9315	10935
460	9343	10924
461	9365	10906
462	9384	10884
463	9401	10860
464	9419	10837
465	9443	10821
466	9470	10808
467	9490	10788
468	9514	10772
469	9529	10746
470	9547	10723
471	9565	10700
472	9582	10676
473	9603	10656
474	9621	10634
475	9644	10616
476	9667	10600
477	9683	10575
478	9699	10549
479	9715	10525
480	9734	10503
481	9751	10479
482	9768	10456
483	9787	10434
484	9805	10412
485	9822	10388
486	9842	10368
487	9862	10347
488	9881	10325
489	9895	10299
490	9910	10273
491	9924	10247
492	9940	10222
493	9957	10199
494	9973	10175
495	9988	10149
496	10005	10125
497	10024	10104
498	10042	10083
499	10065	10065
500	10084	10044
501	10099	10019
502	10114	9994
503	10130	9969
504	10147	9946
505	10163	9922
506	10177	9896
507	10191	9870
508	10209	9848
509	10225	9824
510	10241	9800
511	10259	9778
512	10275	9754
513	10290	9730
514	10305	9705
515	10322	9682
516	10337	9657
517	10351	9632
518	10368	9609
519	10385	9586
520	10399	9561
521	10414	9536
522	10431	9513
523	10450	9493
524	10465	9468
525	10480	9444
526	10495	9419
527	10509	9394
528	10523	9369
529	10538	9345
530	10554	9322
531	10568	9297
532	10585	9274
533	10599	9249
534	10613	9224
535	10628	9200
536	10643	9177
537	10659	9153
538	10675	9130
539	10690	9106
540	10703	9081
541	10721	9059
542	10736	9036
543	10756	9016
544	10771	8992
545	10785	8968
546	10799	8944
547	10814	8919
548	10828	8895
549	10842	8871
550	10860	8850
551	10875	8826
552	10889	8802
553	10904	8778
554	10918	8754
555	10932	8729
556	10948	8707
557	10962	8683
558	10976	8659
559	10990	8635
560	11004	8611
561	11021	8589
562	11036	8566
563	11058	8548
564	11073	8525
565	11087	8502
566	11101	8478
567	11115	8454
568	11130	8431
569	11151	8412
